Symbol,Exchange
^BBLB-ASK,NYS
^SPBFQ,WCB
^VXGS,WCB
05W9.Z,ZRH
0ZUQ.Z,ZRH
40F4.Z,ZRH
SG71P.SW,EBS
^DEDOW,DJI
^ONEY-NV,ASE
^ILCB-NV,ASE
Q2C6.Z,ZRH
2KOV.Z,ZRH
^NQCHMCN,NIM
^MYDOWD,DJI
^NYSCBET,NYS
EPRA.FGI,FGI
DE000SL0GGX0.SG,STU
IX0204.TW,TAI
Q6CB.Z,ZRH
^AIFD-TC,ASE
000074.SS,SHH
03L5.Z,ZRH
INDIXC.MC,MCE
^NQSSFBN,NIM
^SPEPAEET,SNP
DE000SL0BZZ6.SG,STU
DE000SL0A4M0.SG,STU
DE000SL0B1S2.SG,STU
^NQLA5010LMT,NIM
^RMCICBFITR,WCB
^GENT-TC,ASE
Q2DN.Z,ZRH
ST310T.SW,EBS
EDWNT.AS,AMS
^SP600-30201030,SNP
DE000SL0K914.SG,STU
0P00001G5J.BO,BSE
^NQZA50LMN,NIM
^SRVR-IV,ASE
^RFTREESG,FGI
^NQEMMEASC,NIM
DE000SL0B3H1.SG,STU
DE000SL0BH38.SG,STU
A9ZF.Z,ZRH
^SP500-2550TR,SNP
Q5GF.Z,ZRH
Q6UC.Z,ZRH
^CEFD-MF,ASE
^R1ICBINTR,WCB
DE000SL0LSC9.SG,STU
^NQUSS35101015T,NIM
^IJS-EU,ASE
DE000SL0L2V2.SG,STU
SSGOOGL.FGI,FGI
SSEXAB.FGI,FGI
DE000SL0MYD3.SG,STU
^NGXESG02,NIM
DE000SL0MKF7.SG,STU
DE000SL0E8B0.SG,STU
DE000SL0E7R8.SG,STU
^NQLA60,NIM
^SPXPATUT,SNP
^NQBET,NIM
^IGRO-EU,ASE
^HX502030PI,NIM
^SMB-IV,ASE
^NQDMEU55T,NIM
RAIAY.SW,EBS
^SP5TP5EN,SNP
04PN.Z,ZRH
SBD12P.SW,EBS
^BKF-IV,ASE
^WTMEI,FGI
Q7AA.Z,ZRH
^PZA-EU,ASE
^NYSCCH,NYS
^MLPD-NV,ASE
DE000SL0HRK2.SG,STU
DE000SL0JMW4.SG,STU
^SPSIHE,NYS
^RUOTRP,WCB
^NQDMEU5520LM,NIM
Q1W1.Z,ZRH
^NQDMASPA5020LM,NIM
CSN4D.PA,PAR
