Symbol,Exchange
FTWD.DE,GER
NVOH,BTS
FVGEA.DE,GER
WELE.SW,EBS
EXHE.HA,HAN
RK1L.F,FRA
DE5A.DE,GER
5ESG.MU,MUN
WENE.AS,AMS
EXUS.DE,GER
IDNA,PCX
SOCL,NGM
XAYQ.HA,HAN
P5UW.F,FRA
LWCR.BE,BER
VEUR.MI,MIL
ESGE.BE,BER
XM27.MU,MUN
316300.KS,KSC
H4ZJ.MU,MUN
IV0A.BE,BER
BCFB.MU,MUN
OP5H.MU,MUN
WDEE.DU,DUS
0MO5.IL,IOB
EUN2.MU,MUN
XNZN.L,LSE
GDX.SW,EBS
LCORM.XC,CXE
0DZW.L,LSE
L9T0.MU,MUN
JIG,PCX
KSM-F209.TA,TLV
MI9F.MU,MUN
MSAU.SW,EBS
TRD1.BE,BER
AV50.MU,MUN
OG72.MU,MUN
9960.DU,DUS
EXSG.DU,DUS
ASRY.MU,MUN
WAXG.BE,BER
00653L.TW,TAI
IWTK.F,FRA
UIMY.DU,DUS
ASWA.BE,BER
LOHD.HM,HAM
XG43.F,FRA
E908.BE,BER
FFTGE.DE,GER
CFPC.HM,HAM
EL4S.BE,BER
UIGG.BE,BER
LIRU.HM,HAM
CUSS.L,LSE
VCEU.MI,MIL
IFWL.MU,MUN
JSTC,PCX
LCOPM.XC,CXE
NQ67.MU,MUN
FGSDE.DE,GER
WELG.DU,DUS
WCOD.L,LSE
5QQQ.MI,MIL
XDEM.MI,MIL
AH5D.MU,MUN
BBJP,BTS
FJMBE.DE,GER
PQOC,NGM
GSWK.DU,DUS
00952.TW,TAI
SPTS.MX,MEX
VUCP.AS,AMS
MCL.DU,DUS
XUFN.DE,GER
SPX3L.MI,MIL
FH4S.HM,HAM
UQ2K.BE,BER
FEAT,NGM
XE63.HM,HAM
SPYE.MU,MUN
CBGR.TO,TOR
LCDE.DU,DUS
ESGM.MU,MUN
EDM6.DU,DUS
HJ3Z.BE,BER
DWWB.DU,DUS
4IU.BE,BER
EX08.VI,VIE
IVAI.DU,DUS
FJRR.F,FRA
FXZDW.DE,GER
UIB2.HM,HAM
ZJPR.BE,BER
FKNU.F,FRA
FJ2S.MU,MUN
FCIG.NE,NEO
BTMA.AS,AMS
HMXA.L,LSE
2MSF.L,LSE
JSGN.DU,DUS
GOAI.DE,GER
H61L.MU,MUN
FMI.PA,PAR
FEXSA.DE,GER
N52M.DU,DUS
1615.T,JPX
VONV,NGM
FP7X.BE,BER
S590.BE,BER
ESPB.L,LSE
JYJB.F,FRA
XG4M.F,FRA
^FV,NIM
UFUJ.BE,BER
02FV.BE,BER
UVAL.L,LSE
DFGH.XA,CXA
E550.MU,MUN
XOMO,PCX
TDEX.BK,SET
WXIR.MU,MUN
FJFG.HM,HAM
S6X2.BE,BER
GN0MD.XD,DXE
DJFE.HA,HAN
GIGU.L,LSE
FPG1.BE,BER
FWSDG.DE,GER
09AA.MU,MUN
TXIE.HM,HAM
XGEN.MI,MIL
RKC9.F,FRA
IQSD.DE,GER
163A.T,JPX
IQQ6.DE,GER
500005.KS,KSC
TESR.DU,DUS
WXIY.HM,HAM
SFY.XA,CXA
IUSQ.DE,GER
TEPD.F,FRA
100910.KS,KSC
BKLC,PCX
FASRT.DE,GER
O930.MU,MUN
PAEM.MI,MIL
JR6U.MU,MUN
ASR3.DU,DUS
GBHA.SW,EBS
26TP.PA,PAR
SXRY.HA,HAN
BYRE,PCX
P3IG.MU,MUN
CBSUS5.SW,EBS
EUXS.AQ,AQS
VUCP.DU,DUS
XBAS.DE,GER
9W1A.BE,BER
FUIG.DU,DUS
HJ33.HM,HAM
TRSX.L,LSE
WEBS,PCX
FJ23.F,FRA
ABEQ,PCX
TUSB.TO,TOR
XG12.MU,MUN
GSPX.AS,AMS
IUST.DE,GER
H61J.HM,HAM
BER3.MU,MUN
IUSB.DE,GER
F7TG.F,FRA
NDJV.BE,BER
BJLS.DE,GER
H2ZD.MU,MUN
2249.T,JPX
0BV0.BE,BER
IUG3.HM,HAM
FP7D.DU,DUS
EXCHN.MX,MEX
3NFE.L,LSE
F7TA.F,FRA
FIUST.DE,GER
IUGI.F,FRA
XDJP.HM,HAM
DXJ,PCX
H61T.BE,BER
MOGB.L,LSE
CSX5.AS,AMS
JREI.L,LSE
0GP2.L,LSE
DJE.MI,MIL
453630.KS,KSC
OG7P.F,FRA
EGRO.MI,MIL
PJUN,BTS
FLYX8.DE,GER
IUMF.L,LSE
JPJ3.F,FRA
XB29.DE,GER
PS0C.HM,HAM
HND.TO,TOR
DHYD.AS,AMS
XMUS.BE,BER
SUASL.XC,CXE
FJ2P.MU,MUN
UF12.MU,MUN
EUFM.MI,MIL
HZ5E.F,FRA
EMOM.PA,PAR
XRZL.MU,MUN
EQR.HA,HAN
VEMTM.XC,CXE
NADA.DU,DUS
EMUS.SW,EBS
XDGM.MU,MUN
H41X.BE,BER
SYBD.DU,DUS
FZ11.F,FRA
MTF-F48.TA,TLV
DW6F.DU,DUS
PS08.BE,BER
0L1F.L,LSE
FXYPD.DE,GER
IBTS.AQ,AQS
TIGR.DE,GER
FLJH,PCX
0XBH.IL,IOB
XZEG.DU,DUS
MTDD.DE,GER
FGUQ.DU,DUS
S0LR.DE,GER
LM9E.DU,DUS
HASH-USD.AS,AMS
WZDB.MU,MUN
D5V0.F,FRA
IBI-F6.TA,TLV
FH6F.BE,BER
UETE.MU,MUN
AEFM.MU,MUN
520074.KS,KSC
WZFS.BE,BER
MSE.MI,MIL
CWW.TO,TOR
FHU7.DU,DUS
SIVR,PCX
FCAB.TO,TOR
ERO.L,LSE
G4NC.HA,HAN
XRUG.MU,MUN
UBUR.AS,AMS
FFESD.DE,GER
FEUI.BE,BER
ERDV.DU,DUS
AAKI.DE,GER
BATG.L,LSE
SNAZ.DU,DUS
XDBC.MI,MIL
EXH4.HM,HAM
HMWO.L,LSE
AE50.BE,BER
TEPE.HA,HAN
WXO8.HM,HAM
AGEDN.MX,MEX
AIRR,NGM
XG7U.DU,DUS
FXDGS.DE,GER
I6H.HM,HAM
VGEAD.XC,CXE
XPXD.L,LSE
QAIU.DE,GER
DCUSAS.SW,EBS
XWEV.BE,BER
PJAA.BE,BER
EQQQ.DU,DUS
IB28.DE,GER
DAVV.DE,GER
ESGM.DU,DUS
G05C.F,FRA
448300.KS,KSC
